Date,Adj Close
01/02/1958,40.33
01/03/1958,40.87
01/06/1958,40.68
01/07/1958,41
01/08/1958,40.99
01/09/1958,40.75
01/10/1958,40.37
01/13/1958,40.49
01/14/1958,40.67
01/15/1958,40.99
01/16/1958,41.06
01/17/1958,41.1
01/20/1958,41.35
01/21/1958,41.3
01/22/1958,41.2
01/23/1958,41.36
01/24/1958,41.71
01/27/1958,41.59
01/28/1958,41.63
01/29/1958,41.88
01/30/1958,41.68
01/31/1958,41.7
02/03/1958,42.04
02/04/1958,42.46
02/05/1958,42.19
02/06/1958,42.1
02/07/1958,41.73
02/10/1958,41.48
02/11/1958,41.11
02/12/1958,40.93
02/13/1958,40.94
02/14/1958,41.33
02/17/1958,41.11
02/18/1958,41.17
02/19/1958,41.15
02/20/1958,40.91
02/21/1958,40.88
02/24/1958,40.65
02/25/1958,40.61
02/26/1958,40.92
02/27/1958,40.68
02/28/1958,40.84
03/03/1958,41.13
03/04/1958,41.35
03/05/1958,41.47
03/06/1958,42
03/07/1958,42.07
03/10/1958,42.21
03/11/1958,42.51
03/12/1958,42.41
03/13/1958,42.46
03/14/1958,42.33
03/17/1958,42.04
03/18/1958,41.89
03/19/1958,42.09
03/20/1958,42.11
03/21/1958,42.42
03/24/1958,42.58
03/25/1958,42.44
03/26/1958,42.3
03/27/1958,42.17
03/28/1958,42.2
03/31/1958,42.1
04/01/1958,41.93
04/02/1958,41.6
04/03/1958,41.48
04/07/1958,41.33
04/08/1958,41.43
04/09/1958,41.65
04/10/1958,41.7
04/11/1958,41.74
04/14/1958,42
04/15/1958,42.43
04/16/1958,42.1
04/17/1958,42.25
04/18/1958,42.71
04/21/1958,42.93
04/22/1958,42.8
04/23/1958,42.8
04/24/1958,43.14
04/25/1958,43.36
04/28/1958,43.22
04/29/1958,43
04/30/1958,43.44
05/01/1958,43.54
05/02/1958,43.69
05/05/1958,43.79
05/06/1958,44.01
05/07/1958,43.93
05/08/1958,43.99
